Temp,Humi,Ldr,
24.4,61,307,sleeping
24.4,61,297,sleeping
24.4,61,300,sleeping
24.4,61,361,sleeping
24.7,61,478,sleeping
25.3,62,562,sleeping
25.3,62,315,sleeping
25.3,61,322,sleeping
25.3,60,313,sleeping
25.3,60,308,sleeping
25.3,61,318,sleeping
26.4,61,330,sleeping
26.4,61,325,sleeping
26.4,61,307,sleeping
26.4,61,318,sleeping
26.4,61,314,sleeping
26.4,61,307,sleeping
26.4,61,324,sleeping
26.4,60,307,sleeping
26.4,60,309,sleeping
26.4,60,322,sleeping
26.4,60,307,sleeping
26.4,60,322,sleeping
26.4,60,318,sleeping
26.4,60,308,sleeping
26.4,60,317,sleeping
33.7,60,307,work hard
33.7,60,310,work hard
33.7,60,309,work hard
33.7,60,317,work hard
33.7,60,317,work hard
33.7,60,307,work hard
33.7,60,313,work hard
33.7,60,309,work hard
33.7,60,319,work hard
33.7,60,324,work hard
33.7,60,312,work hard
33.7,60,320,work hard
33.7,59,319,work hard
33.7,59,322,work hard
33.7,59,308,work hard
33.7,59,321,work hard
33.7,59,310,work hard
33.7,59,307,work hard
33.7,59,324,work hard
33.7,59,317,work hard
33.7,59,310,work hard
25,59,307,sleeping
25,59,324,sleeping
25,59,307,sleeping
25,59,315,sleeping
25,59,327,sleeping
25,59,327,sleeping
24.8,59,309,sleeping
24.7,59,317,sleeping
24.8,59,307,sleeping
24.9,59,318,sleeping
25,59,322,sleeping
25,59,308,sleeping
25,59,307,sleeping
24.8,59,326,sleeping
24.7,59,309,sleeping
24.8,59,324,sleeping
24.8,59,312,sleeping
24.8,58,309,sleeping
24.7,58,309,sleeping
24.7,57,310,sleeping