Temp,Humi,Ldr
24.4,61,307
24.4,61,297
24.4,61,300
24.4,61,361
24.7,61,478
25.3,62,562
25.3,62,315
25.3,61,322
25.3,60,313
25.3,60,308
25.3,61,318
25,61,330
25,61,325
25,61,307
25,61,318
25,61,314
25,61,307
25,61,324
25,60,307
25,60,309
25,60,322
25,60,307
25,60,322
25,60,318
25,60,308
25,60,317
24.7,60,307
24.8,60,310
24.7,60,309
24.7,60,317
24.7,60,317
24.7,60,307
24.7,60,313
24.7,60,309
24.8,60,319
24.8,60,324
24.7,60,312
24.7,60,320
24.8,59,319
24.8,59,322
24.7,59,308
24.8,59,321
24.8,59,310
24.7,59,307
24.7,59,324
24.9,59,317
24.9,59,310
25,59,307
25,59,324
25,59,307
25,59,315
25,59,327
25,59,327
24.8,59,309
24.7,59,317
24.8,59,307
24.9,59,318
25,59,322
25,59,308
25,59,307
24.8,59,326
24.7,59,309
24.8,59,324
24.8,59,312
24.8,58,309
24.7,58,309
24.7,57,